,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149
24,19,11,13,12,9,22,21,18,18,19,16,17,19,21,14,19,16,16,17,15,14,13,16,17,16,19,17,18,18,19,21,22,28,28,30,29,22,26,26,27,26,23,23,22,18,18,20,21,21,17,10,12,8,13,13,13,13,11,13,8,8,9,12,12,11,12,14,12,12,8,9,10,11,10,12,13,12,12,12,12,11,11,11,11,11,11,11,11,11,11,11,8,9,9,9,8,7,10,10,11,9,9,15,14,18,17,19,14,11,11,13,16,15,16,21,20,21,21,13,14,13,8,14,13,9,8,8,15,4,3,4,3,4,5,5,6,4,4,3,2,3,2,2,4,5,6,6,5,7,4
25,19,12,13,10,9,21,20,18,19,19,16,19,19,21,13,19,15,16,17,16,15,13,19,17,16,19,17,19,17,17,19,21,28,28,31,30,24,27,26,27,27,23,23,21,18,19,21,19,18,17,8,10,9,13,13,13,13,13,10,7,8,11,12,12,12,13,13,12,11,8,8,10,10,10,12,13,12,11,12,11,11,11,11,11,11,11,11,11,11,11,11,8,8,8,9,10,8,8,12,7,8,13,18,19,18,16,16,16,12,13,14,16,14,14,23,18,21,16,18,16,14,13,7,13,9,8,8,11,8,3,3,3,4,5,5,5,5,4,3,2,2,2,3,4,5,6,5,6,6,4
26,19,11,13,12,9,22,21,18,19,19,16,19,19,21,14,19,18,15,17,15,17,13,15,16,15,17,18,18,20,16,21,20,29,29,30,31,20,26,26,27,26,25,23,21,18,18,19,18,17,17,11,10,8,13,13,13,13,11,13,8,9,10,11,12,11,12,13,12,11,8,8,10,11,10,12,13,12,11,12,12,11,11,11,11,11,11,11,11,11,11,11,8,9,9,8,8,9,9,10,13,10,12,13,13,14,17,16,16,11,12,12,15,15,14,17,23,18,21,15,19,13,14,9,7,8,8,8,12,7,3,3,3,4,5,6,5,4,4,3,2,2,2,2,4,5,5,6,6,7,4
27,19,11,13,11,9,20,15,18,17,19,16,19,19,21,15,18,17,14,17,15,15,13,14,19,14,19,18,16,19,16,21,20,24,28,30,29,27,27,27,27,27,23,23,21,18,19,18,19,19,18,10,10,8,13,13,13,13,11,13,7,8,10,12,12,11,12,13,12,10,11,9,11,11,11,12,13,12,12,12,12,11,11,11,11,11,11,11,11,11,11,10,8,9,9,8,8,8,10,11,9,9,18,14,17,13,15,14,15,11,13,12,14,14,15,20,20,20,20,13,11,13,12,14,9,9,8,8,12,7,3,3,3,4,6,5,5,4,4,3,2,2,2,2,4,5,5,5,5,7,4
28,19,11,13,10,9,20,20,18,18,19,17,19,19,21,14,19,16,17,17,15,14,13,15,16,16,18,17,17,18,20,17,16,29,28,30,28,25,26,26,26,27,23,24,21,18,18,20,19,17,15,8,12,10,13,13,13,13,11,9,7,8,10,12,13,11,12,14,11,12,8,8,10,10,10,12,13,13,13,11,11,11,11,11,11,11,11,11,11,11,11,11,8,8,9,8,9,8,10,14,11,11,10,17,17,16,16,20,21,10,11,13,13,13,19,21,19,23,21,13,19,14,14,11,11,9,7,7,12,6,3,3,3,4,5,5,5,4,4,3,2,2,2,2,2,5,5,6,6,7,4
29,17,12,13,10,9,22,19,19,19,19,16,18,19,21,17,14,17,16,16,15,16,14,17,16,15,18,18,16,20,17,20,17,29,28,30,29,25,28,26,27,26,23,23,21,18,19,20,20,17,16,9,11,8,13,13,13,13,12,10,8,8,11,11,12,11,12,13,12,12,8,8,10,10,10,12,13,11,12,11,11,11,11,11,11,11,11,11,11,11,11,11,8,8,8,9,8,9,8,11,11,9,9,17,19,15,15,14,16,12,11,14,13,15,14,19,21,19,15,13,14,13,15,15,11,6,8,8,9,6,3,5,3,4,5,5,5,4,4,3,2,2,2,2,2,5,6,5,6,7,4
30,17,11,13,10,9,22,20,20,19,19,16,18,19,21,14,15,16,17,15,14,16,13,17,16,15,17,17,16,18,18,21,21,29,28,30,30,25,28,27,25,26,23,23,21,18,21,20,20,18,17,10,12,8,13,13,13,13,11,12,7,8,10,11,15,11,13,15,12,12,9,8,11,10,10,12,13,12,12,11,11,11,11,11,11,11,11,11,11,11,11,9,8,9,9,8,10,8,11,14,9,8,14,11,14,16,18,15,14,11,11,13,13,15,17,21,20,20,22,19,17,13,9,8,9,8,8,6,12,7,3,3,3,4,5,5,5,4,4,3,2,3,2,2,3,5,6,6,6,7,4
31,18,11,13,12,18,22,19,18,19,20,16,19,19,21,19,19,18,17,17,15,15,14,15,17,15,18,21,16,17,15,20,20,28,28,30,28,24,25,27,26,27,23,25,21,18,20,20,20,18,17,10,12,9,13,13,13,13,12,9,8,9,10,12,14,11,13,14,12,10,11,8,12,10,10,12,13,12,12,12,12,11,11,11,11,11,11,11,11,11,11,11,8,8,8,10,8,8,9,12,13,8,9,13,14,18,17,15,15,11,12,14,15,14,18,20,19,22,22,12,16,14,9,6,7,10,7,8,12,4,3,3,3,4,5,5,5,4,4,3,2,3,3,2,2,5,6,6,6,7,4
32,19,11,13,10,12,21,20,18,17,19,15,19,19,21,13,17,17,13,17,15,15,14,15,16,15,19,18,16,20,17,17,21,29,28,30,28,23,26,27,27,26,23,23,22,18,20,20,17,18,13,10,11,8,13,13,13,13,11,9,8,8,10,11,13,11,13,14,12,12,12,9,11,12,10,12,13,12,12,11,12,11,11,11,11,11,11,11,11,11,11,11,8,9,9,10,9,8,9,13,8,8,11,20,14,16,16,14,16,11,12,14,14,15,15,22,19,25,20,13,18,16,15,13,9,7,8,8,13,7,3,5,4,4,4,5,5,4,4,3,2,2,2,2,3,5,6,6,6,7,6
33,19,11,13,12,9,22,21,19,18,19,17,19,19,21,17,19,16,17,17,15,15,13,15,17,15,17,17,16,16,16,18,21,26,28,30,29,22,27,26,26,26,23,24,22,18,20,21,21,21,17,9,10,8,13,13,13,13,11,13,8,8,10,12,13,12,12,13,12,11,9,8,10,10,10,12,13,13,12,12,11,11,11,11,11,11,11,11,11,11,11,11,8,9,9,9,8,9,9,11,8,10,9,15,19,22,16,15,22,11,12,14,14,15,15,21,21,23,21,13,11,9,12,8,5,6,8,8,11,7,3,3,3,4,5,6,6,4,4,3,2,2,2,2,3,5,6,6,6,7,4
34,19,11,13,12,12,21,19,18,19,19,14,19,13,21,14,15,17,14,17,15,16,13,15,17,15,18,21,16,17,17,19,21,27,28,30,28,21,25,28,27,26,23,23,21,18,19,20,19,18,17,10,10,8,13,13,13,13,11,13,7,8,11,11,12,11,13,13,11,10,8,9,11,10,10,12,13,12,12,12,11,11,11,11,11,11,11,11,11,11,11,11,8,9,8,8,8,8,10,12,8,8,13,18,18,21,16,25,17,11,13,13,14,15,19,24,19,23,20,13,13,14,14,8,15,9,8,7,12,6,3,4,3,4,5,5,5,4,4,3,2,2,2,2,2,5,6,6,6,7,6
35,19,13,13,12,11,22,21,18,18,20,16,19,19,21,11,19,17,14,15,15,16,14,17,16,16,17,21,16,19,16,20,21,28,28,30,30,23,26,26,27,27,23,23,21,18,19,19,20,20,17,10,10,8,13,13,13,13,11,9,8,8,11,11,16,11,13,13,12,10,10,8,12,11,10,12,13,12,12,12,11,11,11,11,11,11,11,11,11,11,11,11,8,9,9,9,10,9,8,10,11,9,13,15,12,15,16,16,16,11,11,14,15,17,15,19,21,21,20,19,12,10,9,5,10,6,8,8,12,7,3,3,3,5,5,5,6,4,4,3,2,2,2,2,4,5,6,6,6,7,4
36,19,11,13,12,9,22,20,18,17,20,15,19,19,21,14,19,17,17,15,15,16,13,17,16,15,19,21,16,18,16,21,21,25,28,30,30,23,28,26,26,26,24,23,21,18,19,20,19,19,17,8,10,9,13,13,13,13,12,13,8,8,10,12,13,11,14,14,12,12,10,9,10,12,10,12,13,12,11,11,11,11,11,11,11,11,11,11,11,11,11,10,8,9,9,8,8,7,7,11,13,8,14,20,16,10,17,14,14,10,12,13,16,15,15,21,19,22,21,14,14,14,16,5,11,11,8,8,14,6,3,3,4,5,4,5,5,4,4,3,2,2,2,2,3,5,6,6,6,7,4
37,20,13,13,10,9,21,21,18,19,19,16,18,19,21,19,18,16,15,17,15,15,13,20,16,15,17,16,18,16,16,18,21,26,29,30,30,22,27,26,26,27,23,23,22,18,19,21,20,18,17,10,10,9,13,13,13,13,11,9,8,8,10,12,13,11,14,15,12,10,8,8,11,12,11,12,13,12,13,12,11,11,11,11,11,11,11,11,11,11,11,11,8,9,8,10,9,8,11,11,9,8,11,14,18,18,15,25,15,11,12,13,16,15,15,24,18,20,21,13,13,16,14,13,9,9,7,8,12,6,3,6,3,4,4,6,5,4,3,3,2,2,2,2,2,5,5,5,5,6,4
38,17,11,13,12,9,21,19,17,18,19,15,19,19,21,14,19,17,17,15,16,17,15,15,16,15,17,17,17,19,17,20,21,28,28,30,28,25,27,27,26,26,23,24,23,18,20,21,19,18,17,9,12,8,13,13,13,13,11,13,8,8,10,12,12,11,13,13,11,12,10,9,11,10,10,12,13,12,12,12,12,11,11,11,11,11,11,11,11,11,11,11,8,9,9,10,8,10,7,13,9,7,11,20,17,17,17,18,16,12,13,12,16,14,15,22,18,19,21,16,12,17,12,8,11,8,10,7,11,6,3,3,3,4,5,5,5,4,4,3,2,2,3,2,4,5,6,5,5,5,6
39,19,11,13,12,12,20,21,18,19,18,16,19,19,21,19,15,16,16,16,15,16,14,15,17,15,18,19,16,20,17,18,21,28,25,29,29,24,28,26,28,26,23,25,21,18,20,20,21,21,16,10,10,8,13,13,14,13,11,13,7,8,10,12,12,11,13,13,12,12,8,8,10,10,10,12,13,12,12,12,11,11,11,11,11,11,11,11,11,11,11,11,8,9,8,8,9,10,13,14,9,8,9,19,19,18,17,29,16,12,13,13,16,15,16,20,21,21,21,12,13,10,14,7,9,8,8,8,12,7,3,6,3,4,5,5,5,4,4,3,2,2,3,2,2,5,6,5,5,6,4
40,19,13,13,10,12,21,21,18,19,19,17,19,19,21,19,18,17,17,17,15,15,13,15,16,16,18,17,16,18,18,17,20,25,26,30,29,25,26,27,27,26,23,23,21,18,18,20,18,21,17,9,11,12,13,13,13,13,11,13,7,9,10,12,12,12,12,13,12,12,8,8,11,11,10,12,13,12,12,12,11,11,11,11,11,11,11,11,11,11,11,10,8,9,8,9,8,8,10,14,9,8,12,15,19,15,17,23,16,10,13,13,16,14,17,22,22,27,25,13,13,15,14,17,9,9,8,7,14,5,3,5,3,5,5,5,7,4,4,3,2,2,2,2,2,5,6,5,6,7,6
41,19,12,13,12,9,22,21,15,18,19,15,19,19,21,18,19,16,16,15,15,17,13,15,17,16,19,20,18,19,17,19,21,29,28,30,28,22,26,27,26,26,24,23,21,18,19,20,20,17,17,9,10,8,13,13,13,13,12,9,8,8,10,11,12,11,12,13,12,12,9,9,10,13,10,12,13,12,12,12,11,11,11,11,11,11,11,11,11,11,11,11,8,8,9,8,8,7,9,15,10,8,9,19,18,14,17,15,15,12,12,13,14,18,17,19,24,21,21,18,14,14,14,8,11,9,7,8,12,6,3,5,3,4,5,5,6,4,4,3,2,2,2,2,2,5,6,6,5,5,4
42,19,11,13,12,12,22,21,17,19,19,15,17,18,21,15,17,17,16,15,15,16,13,18,18,15,18,20,20,18,18,21,23,29,28,30,31,25,26,27,27,26,23,23,21,19,19,21,19,20,17,9,10,9,13,13,13,13,11,13,8,9,11,12,13,13,13,14,12,11,9,8,10,10,10,12,13,12,12,11,11,11,11,11,11,11,11,11,11,11,11,11,8,9,11,8,8,10,10,11,7,8,9,20,19,16,16,16,14,12,12,14,13,17,15,18,20,21,25,16,18,17,9,13,6,10,11,8,13,4,3,4,3,5,6,5,5,4,4,3,2,2,2,2,4,5,6,5,6,7,4
43,18,11,13,12,9,22,19,16,18,19,15,19,19,21,15,19,16,14,15,15,16,14,17,17,16,17,17,17,18,16,17,21,29,29,30,30,22,26,27,26,26,23,23,22,18,19,21,20,19,18,8,12,8,13,13,13,13,11,9,8,9,9,12,12,11,14,14,12,12,8,9,10,11,10,12,13,12,12,12,11,11,11,11,11,11,11,11,11,11,11,11,8,9,8,9,8,8,9,10,11,14,16,20,19,18,17,16,14,12,13,13,16,15,15,22,19,25,18,14,13,17,15,6,11,8,8,7,12,6,3,4,3,4,6,6,5,4,4,3,2,2,2,3,4,5,6,5,5,7,4
44,19,11,13,10,9,20,19,15,18,19,15,19,19,21,19,19,16,16,15,15,14,13,17,17,15,18,21,16,20,20,21,17,28,28,30,29,25,27,27,26,26,24,24,21,18,19,20,20,19,17,8,10,8,13,13,13,13,12,9,7,8,9,12,14,11,13,14,12,11,8,9,11,12,11,12,13,12,12,11,11,11,11,11,11,11,11,11,11,11,11,11,8,9,9,9,8,7,7,14,10,10,8,17,18,25,17,13,16,12,13,13,15,15,18,15,22,23,20,13,13,14,12,13,9,8,8,8,13,6,3,5,4,4,4,5,5,4,4,3,2,2,2,2,2,5,6,5,5,7,4
45,19,12,13,12,11,22,19,18,18,19,16,19,18,21,16,16,17,16,15,16,14,13,15,17,16,17,17,16,16,20,21,23,25,28,30,29,24,27,26,26,27,24,24,22,19,19,18,19,20,17,9,10,8,13,13,13,13,13,13,8,8,10,12,11,11,13,13,12,11,9,8,10,10,10,12,13,12,11,11,11,11,11,11,11,11,11,11,11,11,11,11,8,8,9,9,8,8,8,11,8,9,13,13,17,19,15,16,23,10,12,13,15,16,15,14,19,19,19,15,18,14,13,5,9,9,8,8,12,6,3,4,3,4,4,5,6,4,3,3,2,2,2,2,4,5,6,6,6,7,4
46,19,11,13,12,12,22,19,17,18,19,15,19,17,21,20,19,15,14,17,15,14,13,16,16,15,18,19,16,20,18,20,21,27,28,31,29,25,27,26,28,27,23,23,21,18,20,20,19,20,17,10,11,8,13,13,13,13,13,10,8,9,10,12,12,11,13,13,12,10,9,8,10,10,10,12,13,12,12,11,12,11,11,11,11,11,11,11,11,11,11,11,8,9,9,10,9,8,7,10,11,8,14,14,17,20,17,16,14,11,12,13,13,15,17,21,19,23,19,14,16,8,13,14,6,6,9,8,11,6,3,3,3,4,4,5,6,4,4,3,2,3,3,2,2,5,5,6,6,7,6
47,19,11,13,10,11,22,19,16,17,19,15,19,19,21,14,19,16,15,16,15,15,13,14,16,15,18,19,19,20,16,20,20,27,28,31,29,24,27,28,28,26,23,23,21,19,19,21,19,20,19,10,10,8,13,13,13,12,12,9,7,8,10,12,13,12,12,14,13,10,8,9,11,12,12,12,13,12,12,12,11,11,11,11,11,11,11,11,11,11,11,11,8,8,9,9,8,11,10,12,12,13,12,19,17,18,17,16,16,11,12,13,16,15,14,20,19,23,21,12,13,15,13,14,13,9,7,7,12,5,3,4,3,4,5,5,5,4,4,3,2,2,2,2,2,5,6,6,6,7,4
48,19,11,12,10,10,22,20,18,17,20,15,19,18,21,13,19,16,14,16,15,14,14,15,17,15,17,17,18,16,20,21,18,28,28,30,29,25,27,26,27,26,23,23,21,19,19,21,20,20,17,10,11,8,13,13,13,13,11,9,8,8,10,11,13,11,13,13,12,10,8,8,10,11,10,12,13,12,12,11,11,11,11,11,11,11,11,11,11,11,11,11,8,10,8,11,8,10,8,9,9,12,13,13,18,18,17,16,14,12,12,13,14,14,15,20,22,25,20,12,11,13,9,5,9,9,9,8,12,6,3,3,3,4,5,5,5,4,4,3,2,2,2,2,4,5,6,6,6,7,4
49,19,11,13,10,12,22,19,17,17,19,15,19,19,21,20,19,16,16,17,16,15,13,15,17,16,18,17,17,18,19,20,17,29,28,30,27,25,27,27,27,26,23,23,21,18,19,20,21,19,17,9,11,8,13,13,13,13,12,13,8,8,9,11,12,11,14,13,13,10,8,9,10,10,10,12,13,12,12,11,12,11,11,11,11,11,11,11,11,11,11,11,8,10,8,8,8,8,8,13,10,9,11,18,14,15,17,25,15,11,12,13,13,11,13,20,19,23,19,11,13,11,10,14,7,9,8,11,9,6,3,6,3,4,4,5,5,4,4,3,2,2,2,2,3,5,6,5,5,6,4
